Input Price,Sentiment,Output Price
19.166666,-0.00416666,18.75
18.75,0.00145834,18.895834
18.895834,0.01072916,19.96875
19.96875,0.02947916,22.916666
22.916666,-0.0090625,22.010416
22.010416,0.00322918,22.333334
22.333334,-0.010625,21.270834
21.270834,-0.005625,20.708334
20.708334,0.0021875,20.927084
20.927084,-0.01104168,19.822916
19.822916,-0.01854166,17.96875
17.96875,0.00989584,18.958334
18.958334,-0.00479168,18.479166
18.479166,-0.004375,18.041666
18.041666,0.00270834,18.3125
18.3125,-0.00614584,17.697916
17.697916,0.00552084,18.25
18.25,0.01083334,19.333334
19.333334,0.009375,20.270834
20.270834,0.00395832,20.666666
20.666666,0.010625,21.729166
21.729166,-0.00479166,21.25
21.25,-0.00791666,20.458334
20.458334,-0.00510418,19.947916
19.947916,0.015,21.447916
21.447916,0.00010418,21.458334
21.458334,0.000625,21.520834
21.520834,0.0009375,21.614584
21.614584,0.0084375,22.458334
22.458334,-0.00520834,21.9375
21.9375,-0.00729166,21.208334
21.208334,-0.01375,19.833334
19.833334,-0.021849,17.648434
17.648434,-0.03690101,13.958333
13.958333,-0.00632816,13.325517
13.325517,0.01320316,14.645833
14.645833,-0.00333333,14.3125
14.3125,0.000625,14.375
14.375,0.01,15.375
15.375,-0.01291667,14.083333
14.083333,-0.008125,13.270833
13.270833,-0.0059375,12.677083
12.677083,-0.00395833,12.28125
12.28125,-0.00114583,12.166667
12.166667,0.01916666,14.083333
14.083333,-0.0125,12.833333
12.833333,0.00447917,13.28125
13.28125,0.0096875,14.25
14.25,0.00447917,14.697917
14.697917,0.02822917,17.520834
17.520834,-0.005,17.020834
17.020834,0.011875,18.208334
18.208334,0.010625,19.270834
19.270834,-0.00416668,18.854166
18.854166,-0.0025,18.604166
18.604166,-0.015,17.104166
17.104166,0.01270834,18.375
18.375,-0.00924484,17.450516
17.450516,0.00601568,18.052084
18.052084,-0.02479167,15.572917
15.572917,-0.01208334,14.364583
14.364583,0.00833334,15.197917
15.197917,0.00333333,15.53125
15.53125,-0.00302083,15.229167
15.229167,0.00354166,15.583333
15.583333,0.00593751,16.177084
16.177084,0.00395832,16.572916
16.572916,0.01052084,17.625
17.625,0.00166666,17.791666
17.791666,0.00541668,18.333334
18.333334,0.0078125,19.114584
19.114584,0.00239582,19.354166
19.354166,0.00885418,20.239584
20.239584,-0.00854168,19.385416
19.385416,0.00125,19.510416
19.510416,0.01572918,21.083334
21.083334,-0.00010418,21.072916
21.072916,0.00760418,21.833334
21.833334,-0.00822918,21.010416
21.010416,0.00625,21.635416
21.635416,-0.0021875,21.416666
21.416666,-0.0065625,20.760416
20.760416,0.00385418,21.145834
21.145834,0.008125,21.958334
21.958334,-0.00854168,21.104166
21.104166,0.00729168,21.833334
21.833334,-0.00541668,21.291666
21.291666,-0.0025,21.041666
21.041666,0.03708334,24.75
24.75,0.02583334,27.333334
27.333334,-0.01791668,25.541666
25.541666,0.045625,30.104166
30.104166,0.06229166,36.333332
36.333332,-0.00583332,35.75
35.75,-0.00697918,35.052082
35.052082,0.01052086,36.104168
36.104168,-0.04104168,32
32,0.02916668,34.916668
34.916668,-0.01666668,33.25
33.25,-0.01666666,31.583334
31.583334,-0.00166668,31.416666
31.416666,0.00416668,31.833334
31.833334,0.02177084,34.010418
34.010418,0.0203125,36.041668
36.041668,-0.00520836,35.520832
35.520832,0.01645836,37.166668
37.166668,-0.00125,37.041668
37.041668,0.03416664,40.458332
40.458332,0.07708336,48.166668
48.166668,-0.02041668,46.125
46.125,0.0165625,47.78125
47.78125,0.0534375,53.125
53.125,0.00604168,53.729168
53.729168,0.004375,54.166668
54.166668,-0.0003125,54.135418
54.135418,0.04520832,58.65625
58.65625,-0.03270832,55.385418
55.385418,-0.0184375,53.541668
53.541668,0,53.541668
53.541668,0.05614582,59.15625
59.15625,0.0309375,62.25
62.25,0.0675,69
69,0.104375,79.4375
79.4375,0.006875,80.125
80.125,0.121875,92.3125
92.3125,-0.10625,81.6875
81.6875,-0.076875,74
74,-0.05,69
69,0.011875,70.1875
70.1875,-0.0028125,69.90625
69.90625,-0.1340625,56.5
56.5,-0.035,53
53,0.085,61.5
61.5,-0.053125,56.1875
56.1875,0.01359348,57.546848
57.546848,0.05265652,62.8125
62.8125,-0.01375,61.4375
61.4375,-0.0296875,58.46875
58.46875,-0.0053125,57.9375
57.9375,-0.028125,55.125
55.125,0.0775,62.875
62.875,-0.03875,59
59,-0.010625,57.9375
57.9375,-0.03375,54.5625
54.5625,-0.045625,50
50,-0.0128125,48.71875
48.71875,0.0621875,54.9375
54.9375,-0.026875,52.25
52.25,-0.029375,49.3125
49.3125,-0.025625,46.75
46.75,-0.02,44.75
44.75,0.061875,50.9375
50.9375,0.023125,53.25
53.25,0.0434375,57.59375
57.59375,-0.02125,55.46875
55.46875,0.0703125,62.5
62.5,0.015625,64.0625
64.0625,0.024375,66.5
66.5,-0.0584375,60.65625
60.65625,0.0109375,61.75
61.75,-0.016875,60.0625
60.0625,0.006875,60.75
60.75,0.0034375,61.09375
61.09375,0.03875,64.96875
64.96875,0.0359375,68.5625
68.5625,-0.01125,67.4375
67.4375,-0.0078125,66.65625
66.65625,0.028125,69.46875
69.46875,-0.025625,66.90625
66.90625,-0.0140625,65.5
65.5,0.0371875,69.21875
69.21875,-0.016875,67.53125
67.53125,-0.0153125,66
66,-0.063125,59.6875
59.6875,0.0215625,61.84375
61.84375,0.0809375,69.9375
69.9375,-0.0040625,69.53125
69.53125,0.0528125,74.8125
74.8125,0.0753125,82.34375
82.34375,0.0375,86.09375
86.09375,-0.0059375,85.5
85.5,0.0775,93.25
93.25,-0.018125,91.4375
91.4375,-0.0353125,87.90625
87.90625,0.0159375,89.5
89.5,0.019375,91.4375
91.4375,0.0078125,92.21875
92.21875,-0.0303125,89.1875
89.1875,-0.051875,84
84,-0.00375,83.625
83.625,0.11375,95
95,-0.1553125,79.46875
79.46875,0.0653125,86
86,0.03625,89.625
89.625,0.0540625,95.03125
95.03125,0.1003125,105.0625
105.0625,-0.0146875,103.59375
103.59375,-0.0065625,102.9375
102.9375,-0.061875,96.75
96.75,-0.12625,84.125
84.125,0.0190625,86.03125
86.03125,-0.105625,75.46875
75.46875,-0.0396875,71.5
71.5,0.0175,73.25
73.25,-0.045625,68.6875
68.6875,-0.005,68.1875
68.1875,0.0525,73.4375
73.4375,0.0075,74.1875
74.1875,-0.0271875,71.46875
71.46875,-0.0346875,68
68,-0.018125,66.1875
66.1875,0.02625,68.8125
68.8125,-0.025,66.3125
66.3125,0.0346875,69.78125
69.78125,-0.04375,65.40625
65.40625,-0.01125,64.28125
64.28125,-0.0553125,58.75
58.75,-0.0296875,55.78125
55.78125,0.046875,60.46875
60.46875,-0.031875,57.28125
57.28125,0.0209375,59.375
59.375,-0.0646875,52.90625
52.90625,0.0315625,56.0625
56.0625,-0.0353125,52.53125
52.53125,0.016875,54.21875
54.21875,0.0446875,58.6875
58.6875,-0.0290625,55.78125
55.78125,0.0121875,57
57,0.0096875,57.96875
57.96875,-0.050625,52.90625
52.90625,-0.0690625,46
46,0.0225,48.25
48.25,0.0759375,55.84375
55.84375,0.00625,56.46875
56.46875,-0.008125,55.65625
55.65625,0.0609375,61.75
61.75,-0.03,58.75
58.75,0.00125,58.875
58.875,-0.020625,56.8125
56.8125,-0.0171875,55.09375
55.09375,0.0025,55.34375
55.34375,0.026875,58.03125
58.03125,0.0453125,62.5625
62.5625,-0.01375,61.1875
61.1875,0.0084375,62.03125
62.03125,0.0140625,63.4375
63.4375,-0.025,60.9375
60.9375,0.0175,62.6875
62.6875,0.000625,62.75
62.75,-0.040625,58.6875
58.6875,0.04375,63.0625
63.0625,0.044375,67.5
67.5,0.0228125,69.78125
69.78125,-0.0096875,68.8125
68.8125,-0.0296875,65.84375
65.84375,-0.0578125,60.0625
60.0625,0.0265625,62.71875
62.71875,-0.093125,53.40625
53.40625,0.03875,57.28125
57.28125,-0.043125,52.96875
52.96875,-0.0246875,50.5
50.5,0.02375,52.875
52.875,-0.0209375,50.78125
50.78125,-0.0075,50.03125
50.03125,-0.0303125,47
47,0.004375,47.4375
47.4375,-0.0321875,44.21875
44.21875,0.0440625,48.625
48.625,-0.0384375,44.78125
44.78125,-0.0203125,42.75
42.75,0.0275,45.5
45.5,-0.0003125,45.46875
45.46875,0.0040625,45.875
45.875,0.0284375,48.71875
48.71875,0.004375,49.15625
49.15625,0.0546875,54.625
54.625,0.019375,56.5625
56.5625,-0.035,53.0625
53.0625,0.0365625,56.71875
56.71875,0.0246875,59.1875
59.1875,0.0084375,60.03125
60.03125,0.0640625,66.4375
66.4375,-0.0215625,64.28125
64.28125,-0.0003125,64.25
64.25,-0.04625,59.625
59.625,0.025625,62.1875
62.1875,-0.0265625,59.53125
59.53125,0.0053125,60.0625
60.0625,0.02375,62.4375
62.4375,0.005,62.9375
62.9375,-0.015,61.4375
61.4375,0.021875,63.625
63.625,0.02875,66.5
66.5,-0.031875,63.3125
63.3125,0.026875,66
66,-0.004375,65.5625
65.5625,-0.003125,65.25
65.25,-0.014375,63.8125
63.8125,-0.010625,62.75
62.75,-0.005,62.25
62.25,0.0375,66
66,-0.0375,62.25
62.25,0.0275,65
65,-0.024375,62.5625
62.5625,0.033125,65.875
65.875,0.14875,80.75
80.75,-0.008125,79.9375
79.9375,-0.026875,77.25
77.25,-0.001875,77.0625
77.0625,0.01375,78.4375
78.4375,0.04,82.4375
82.4375,0.04875,87.3125
87.3125,0.019375,89.25
89.25,-0.00875,88.375
88.375,-0.034375,84.9375
84.9375,-0.05,79.9375
79.9375,-0.00343803,79.593697
79.593697,-0.04531197,75.0625
75.0625,-0.01,74.0625
74.0625,0.025625,76.625
76.625,0.03875,80.5
80.5,0.0025,80.75
80.75,-0.02125,78.625
78.625,0.04125,82.75
82.75,-0.015,81.25
81.25,-0.053125,75.9375
75.9375,-0.049375,71
71,-0.00375,70.625
70.625,-0.015,69.125
69.125,-0.026875,66.4375
66.4375,-0.00625,65.8125
65.8125,-0.0275,63.0625
63.0625,0.01875,64.9375
64.9375,0.130625,78
78,-0.071875,70.8125
70.8125,0.011875,72
72,0.01,73
73,0.019375,74.9375
74.9375,-0.014375,73.5
73.5,0.054375,78.9375
78.9375,-0.024375,76.5
76.5,0.014375,77.9375
77.9375,0,77.9375
77.9375,0.025625,80.5
80.5,0.0125,81.75
81.75,0.055,87.25
87.25,0.05875,93.125
93.125,-0.026875,90.4375
90.4375,-0.05375,85.0625
85.0625,-0.000625,85
85,0.040625,89.0625
89.0625,-0.025,86.5625
86.5625,0.011875,87.75
87.75,-0.016875,86.0625
86.0625,0.025,88.5625
88.5625,0.150625,103.625
103.625,0.030625,106.6875
106.6875,-0.041875,102.5
102.5,-0.06875,95.625
95.625,0.00875,96.5
96.5,-0.01625,94.875
94.875,-0.008125,94.0625
94.0625,0.029375,97
97,0.02875,99.875
99.875,-0.021875,97.6875
97.6875,-0.076875,90
90,-0.08875,81.125
81.125,0.011875,82.3125
82.3125,0.011875,83.5
83.5,-0.044375,79.0625
79.0625,-0.029375,76.125
76.125,0.1325,89.375
89.375,-0.074375,81.9375
81.9375,-0.121875,69.75
69.75,-0.041875,65.5625
65.5625,0.04,69.5625
69.5625,-0.00375,69.1875
69.1875,-0.024375,66.75
66.75,-0.031875,63.5625
63.5625,0.02375,65.9375
65.9375,-0.016875,64.25
64.25,-0.00125,64.125
64.125,0.026875,66.8125
66.8125,-0.020625,64.75
64.75,-0.026875,62.0625
62.0625,0.080625,70.125
70.125,-0.00875,69.25
69.25,-0.044375,64.8125
64.8125,0.02125,66.9375
66.9375,-0.0525,61.6875
61.6875,0.02875,64.5625
64.5625,0.02875,67.4375
67.4375,0.02,69.4375
69.4375,0.1475,84.1875
84.1875,-0.05625,78.5625
78.5625,-0.035625,75
75,0.08125,83.125
83.125,-0.02875,80.25
80.25,-0.040625,76.1875
76.1875,0,76.1875
76.1875,-0.0175,74.4375
74.4375,-0.00625,73.8125
73.8125,-0.03125,70.6875
70.6875,-0.016875,69
69,-0.0425,64.75
64.75,-0.011875,63.5625
63.5625,0.06875,70.4375
70.4375,-0.02,68.4375
68.4375,0.006875,69.125
69.125,-0.03375,65.75
65.75,0.03125,68.875
68.875,-0.03,65.875
65.875,-0.033125,62.5625
62.5625,-0.000625,62.5
62.5,0.014375,63.9375
63.9375,-0.004375,63.5
63.5,0.00125,63.625
63.625,0.051875,68.8125
68.8125,-0.019375,66.875
66.875,-0.015625,65.3125
65.3125,0.003125,65.625
65.625,-0.01875,63.75
63.75,0.025,66.25
66.25,-0.014375,64.8125
64.8125,-0.00625,64.1875
64.1875,0.081875,72.375
72.375,-0.016875,70.6875
70.6875,-0.03,67.6875
67.6875,0.05,72.6875
72.6875,0.004375,73.125
73.125,-0.03,70.125
70.125,-0.03875,66.25
66.25,0.0025,66.5
66.5,0.005,67
67,-0.034375,63.5625
63.5625,0.00375,63.9375
63.9375,-0.0175,62.1875
62.1875,0.020625,64.25
64.25,0.033125,67.5625
67.5625,-0.041875,63.375
63.375,0,63.375
63.375,-0.07,56.375
56.375,-0.08375,48
48,-0.01125,46.875
46.875,0.001875,47.0625
47.0625,0.07875,54.9375
54.9375,-0.015,53.4375
53.4375,-0.010625,52.375
52.375,-0.025625,49.8125
49.8125,0.02625,52.4375
52.4375,0.010625,53.5
53.5,-0.00625,52.875
52.875,0.023125,55.1875
55.1875,0.0475,59.9375
59.9375,-0.038125,56.125
56.125,-0.02,54.125
54.125,0.009375,55.0625
55.0625,0.034375,58.5
58.5,-0.02484402,56.015598
56.015598,0.00234402,56.25
56.25,-0.029375,53.3125
53.3125,0.015625,54.875
54.875,-0.01125,53.75
53.75,0.023125,56.0625
56.0625,0.03,59.0625
59.0625,0.019375,61
61,-0.05625,55.375
55.375,-0.0275,52.625
52.625,-0.0075,51.875
51.875,-0.051875,46.6875
46.6875,0.01875,48.5625
48.5625,-0.030625,45.5
45.5,0.01,46.5
46.5,0.0525,51.75
51.75,-0.034375,48.3125
48.3125,0.01875,50.1875
50.1875,0.076875,57.875
57.875,-0.03375,54.5
54.5,-0.039375,50.5625
50.5625,0.0125,51.8125
51.8125,0.000625,51.875
51.875,0.003125,52.1875
52.1875,-0.0375,48.4375
48.4375,0.005625,49
49,-0.025625,46.4375
46.4375,-0.00125,46.3125
46.3125,-0.003125,46
46,-0.006875,45.3125
45.3125,0.008125,46.125
46.125,-0.000625,46.0625
46.0625,-0.040625,42
42,-0.08125,33.875
33.875,0.000625,33.9375
33.9375,0.025625,36.5
36.5,0.01375,37.875
37.875,-0.0075,37.125
37.125,-0.008125,36.3125
36.3125,0.006875,37
37,-0.005,36.5
36.5,-0.004375,36.0625
36.0625,0.000625,36.125
36.125,-0.010625,35.0625
35.0625,-0.019375,33.125
33.125,0.019375,35.0625
35.0625,-0.000625,35
35,0.07625,42.625
42.625,-0.015,41.125
41.125,0.00625,41.75
41.75,-0.00875,40.875
40.875,-0.005625,40.3125
40.3125,0.008125,41.125
41.125,-0.02375,38.75
38.75,-0.01125,37.625
37.625,-0.015625,36.0625
36.0625,-0.046875,31.375
31.375,-0.01375,30
30,0.00125,30.125
30.125,0.00125,30.25
30.25,0.005625,30.8125
30.8125,0.006875,31.5
31.5,0.01,32.5
32.5,0.013125,33.8125
33.8125,-0.00875,32.9375
32.9375,-0.020625,30.875
30.875,-0.004375,30.4375
30.4375,0.0325,33.6875
33.6875,0.011875,34.875
34.875,0.026875,37.5625
37.5625,0.010625,38.625
38.625,-0.00375,38.25
38.25,0.0075,39
39,-0.015,37.5
37.5,-0.01,36.5
36.5,0.023125,38.8125
38.8125,0.005625,39.375
39.375,0.005625,39.9375
39.9375,-0.008125,39.125
39.125,0.005,39.625
39.625,0.033125,42.9375
42.9375,-0.014375,41.5
41.5,0,41.5
41.5,0.041875,45.6875
45.6875,0.001875,45.875
45.875,-0.02375,43.5
43.5,-0.005625,42.9375
42.9375,-0.005625,42.375
42.375,0.003125,42.6875
42.6875,-0.0025,42.4375
42.4375,0.024375,44.875
44.875,-0.0125,43.625
43.625,-0.008125,42.8125
42.8125,-0.020625,40.75
40.75,-0.0325,37.5
37.5,0.025625,40.0625
40.0625,0.01375,41.4375
41.4375,-0.010625,40.375
40.375,-0.00625,39.75
39.75,-0.01875,37.875
37.875,0.02125,40
40,-0.015625,38.4375
38.4375,-0.025625,35.875
35.875,-0.008125,35.0625
35.0625,0.009375,36
36,-0.024375,33.5625
33.5625,-0.02,31.5625
31.5625,-0.015,30.0625
