Date,Open,High,Low,Close,Adj Close,Volume
2018-04-19,41.529999,42.250000,41.509998,42.110001,42.110001,9700700
2018-04-20,42.279999,43.000000,42.060001,42.200001,42.200001,13731600
2018-04-23,42.349998,42.500000,41.490002,41.599998,41.599998,8673100
2018-04-24,41.849998,42.180000,40.810001,41.180000,41.180000,7316900
2018-04-25,41.110001,41.279999,40.240002,40.970001,40.970001,11161200
2018-04-26,38.840000,39.070000,38.090000,38.680000,38.680000,21446700
2018-04-27,38.680000,38.889999,37.990002,38.230000,38.230000,15960100
2018-04-30,38.290001,38.619999,37.650002,37.880001,37.880001,10620400
2018-05-01,37.750000,37.919998,37.419998,37.830002,37.830002,7301900
2018-05-02,37.830002,37.990002,37.080002,37.180000,37.180000,11027800
2018-05-03,37.000000,37.759998,36.810001,37.639999,37.639999,8942700
2018-05-04,37.330002,38.189999,37.209999,38.000000,38.000000,6359300
2018-05-07,38.080002,38.250000,37.610001,37.799999,37.799999,6773700
2018-05-08,37.730000,38.139999,37.480000,38.099998,38.099998,8953000
2018-05-09,38.299999,38.840000,38.180000,38.230000,38.230000,9597500
2018-05-10,38.389999,38.560001,38.090000,38.500000,38.500000,7215500
2018-05-11,38.380001,38.759998,38.110001,38.259998,38.259998,7455900
2018-05-14,38.150002,38.669998,38.150002,38.389999,38.389999,7462800
2018-05-15,38.119999,38.209999,37.689999,38.080002,38.080002,6747200
2018-05-16,38.000000,38.570000,37.950001,38.349998,38.349998,11002600
2018-05-17,38.230000,38.840000,38.230000,38.400002,38.400002,6370400
2018-05-18,38.299999,38.580002,38.160000,38.320000,38.320000,6736600
2018-05-21,38.490002,38.820000,38.189999,38.290001,38.290001,6599200
2018-05-22,38.400002,38.490002,37.689999,37.770000,37.770000,9142200
2018-05-23,37.610001,38.060001,37.470001,38.040001,38.040001,7235400
2018-05-24,38.029999,38.240002,37.630001,37.790001,37.790001,6248700
2018-05-25,37.840000,38.290001,37.799999,37.939999,37.939999,8736600
2018-05-29,37.730000,37.880001,37.360001,37.529999,37.529999,8188400
2018-05-30,37.779999,38.119999,37.529999,37.849998,37.849998,7908700
